1,1,925.61,357.04,61.68,154.38,1,1,1.0
2,1,939.98,355.44,61.31,160.83,1,1,1.0
3,1,951.04,354.69,57.98,167.60,1,1,1.0
4,1,979.43,353.49,69.72,175.43,1,1,1.0
5,1,1000.44,351.30,64.75,188.71,1,1,1.0
6,1,1011.07,351.82,78.49,197.55,1,1,1.0
7,1,1051.12,348.04,77.49,209.13,1,1,1.0
8,1,1086.59,351.90,73.40,220.54,1,1,1.0
9,1,1099.16,353.61,91.99,237.83,1,1,1.0
10,1,1154.00,350.00,85.00,266.00,1,1,1.0
10,2,1203.00,261.00,85.00,579.00,1,1,1.0
11,1,1177.00,354.00,111.00,285.00,1,1,1.0
11,2,1037.00,282.00,130.00,481.00,1,1,1.0
12,1,1213.74,339.94,74.21,298.16,1,1,0.5
12,2,924.68,304.94,203.11,448.02,1,1,1.0
13,1,1245.80,329.80,59.79,321.20,1,1,0.1
13,2,810.65,316.39,160.51,364.38,1,1,1.0
14,2,781.00,322.00,103.00,349.00,1,1,1.0
15,2,690.95,326.98,128.05,303.82,1,1,1.0
16,2,695.00,335.00,85.00,258.00,1,1,1.0
17,2,674.00,342.00,86.00,239.00,1,1,1.0
18,2,666.00,346.00,77.00,212.00,1,1,1.0
19,2,652.00,352.00,65.00,186.00,1,1,1.0
20,2,642.00,351.00,68.00,180.00,1,1,1.0
21,2,630.00,357.00,54.00,163.00,1,1,1.0
22,2,618.47,358.77,59.66,153.01,1,1,1.0
23,2,603.90,357.00,51.00,142.00,1,1,1.0
23,3,1081.00,266.00,192.00,564.00,1,1,1.0
24,2,593.00,364.00,50.00,135.00,1,1,1.0
24,3,995.26,278.13,145.00,481.00,1,1,1.0
25,2,576.00,364.00,49.00,130.00,1,1,1.0
25,3,864.00,334.00,168.00,379.00,1,1,1.0
26,2,556.00,368.00,45.00,119.00,1,1,1.0
26,3,751.00,324.00,113.00,352.00,1,1,1.0
26,5,892.00,400.00,12.00,14.00,1,1,1.0
27,2,533.00,367.00,44.00,116.00,1,1,1.0
27,3,691.00,331.00,133.00,328.00,1,1,1.0
27,5,888.00,400.00,11.00,15.00,1,1,1.0
28,2,522.00,370.00,35.00,109.00,1,1,1.0
28,3,635.00,332.00,105.00,305.00,1,1,1.0
28,5,882.00,400.00,12.00,14.00,1,1,1.0
29,2,507.00,373.00,42.00,106.00,1,1,1.0
29,3,598.00,334.00,98.00,281.00,1,1,1.0
29,5,877.00,399.00,13.00,17.00,1,1,1.0
30,2,483.00,374.00,41.00,104.00,1,1,0.9
30,3,506.48,344.75,129.00,249.00,1,1,1.0
30,5,870.00,397.00,11.00,19.00,1,1,1.0
31,2,478.00,371.00,40.00,102.00,1,1,0.0
31,3,466.00,350.00,106.00,241.00,1,1,1.0
31,5,862.00,394.00,12.00,22.00,1,1,1.0
32,2,387.00,359.00,105.00,213.00,1,1,1.0
32,2,457.00,380.00,37.00,93.00,1,1,1.0
32,5,853.00,392.00,11.00,25.00,1,1,1.0
33,3,338.00,360.00,86.00,210.00,1,1,1.0
33,2,453.00,380.00,27.00,90.00,1,1,1.0
33,5,847.00,391.00,12.00,28.00,1,1,1.0
34,3,309.00,366.30,89.00,201.00,1,1,1.0
34,2,448.00,383.00,30.00,86.00,1,1,1.0
34,5,840.00,390.00,15.00,29.00,1,1,1.0
35,3,247.00,373.00,98.00,200.00,1,1,1.0
35,2,435.00,384.00,33.00,85.00,1,1,1.0
35,5,833.00,388.00,12.00,30.00,1,1,1.0
36,3,192.00,376.00,91.00,199.00,1,1,1.0
36,2,433.00,385.00,30.00,83.00,1,1,1.0
36,4,1260.39,331.53,27.00,378.00,1,1,0.1
36,5,825.00,388.00,13.00,26.00,1,1,1.0
37,3,156.00,381.00,72.00,199.00,1,1,1.0
37,2,432.00,385.00,28.00,80.00,1,1,1.0
37,4,1162.00,310.00,126.00,373.00,1,1,1.0
37,5,818.00,384.00,13.00,31.00,1,1,1.0
38,3,91.00,398.00,90.00,200.00,1,1,1.0
38,2,443.00,387.00,23.00,75.00,1,1,1.0
38,4,1116.00,315.00,118.00,337.00,1,1,1.0
38,5,809.00,382.00,13.00,32.00,1,1,1.0
39,3,61.00,403.00,79.00,199.00,1,1,1.0
39,2,451.00,387.00,21.00,75.00,1,1,1.0
39,4,1111.00,313.00,88.00,310.00,1,1,1.0
39,5,803.00,383.00,16.00,33.00,1,1,1.0
40,3,1.00,410.00,70.00,214.00,1,1,1.0
40,2,462.00,387.00,33.00,72.00,1,1,1.0
40,4,1063.00,318.00,89.00,272.00,1,1,1.0
40,5,792.00,383.00,19.00,35.00,1,1,1.0
41,3,5.00,422.00,69.00,214.00,1,1,0.8
41,2,465.39,380.26,28.00,77.00,1,1,1.0
41,4,1052.00,319.00,94.00,267.00,1,1,1.0
41,5,791.00,381.00,14.00,37.00,1,1,1.0
42,2,483.00,383.00,31.00,73.00,1,1,1.0
42,4,1037.31,323.74,70.00,236.00,1,1,1.0
42,5,780.00,381.00,15.00,36.00,1,1,1.0
43,2,499.44,380.02,25.93,71.86,1,1,1.0
43,4,1010.19,328.27,72.71,217.47,1,1,1.0
43,5,776.47,380.40,14.07,36.46,1,1,1.0
44,2,510.51,378.16,24.69,70.56,1,1,1.0
44,4,990.39,333.21,69.44,202.75,1,1,1.0
44,5,773.50,381.52,12.52,35.53,1,1,1.0
45,2,517.32,375.84,22.33,74.42,1,1,1.0
45,4,978.25,332.12,62.66,192.45,1,1,1.0
45,5,767.00,380.00,16.00,36.00,1,1,1.0
45,6,1210.50,325.00,78.00,381.00,1,1,1.0
46,2,518.73,377.52,22.00,73.00,1,1,1.0
46,4,945.00,342.00,65.00,174.00,1,1,1.0
46,6,1157.07,312.39,108.00,355.00,1,1,1.0
